年份,pi_Employment,si_Employment,ti_Employment
2000,81.18676470588252,88.04411764705856,74.64558823529433
2001,79.95000000000027,90.25,76.52500000000009
2002,97.0,75.0,73.0
2003,79.0,87.0,77.0
2004,73.0,93.0,78.0
2005,69.0,101.0,85.0
2006,65.0,105.0,86.0
2007,66.0,109.0,90.0
2008,67.0,117.0,97.0
2009,67.0,118.0,99.0
2010,67.0,119.0,99.0
2011,65.0,119.0,103.0
2012,73.0,119.0,92.0
2013,71.0,119.0,94.0
2014,69.0,119.0,97.0
2015,63.0,118.0,100.0
2016,60.0,113.0,105.0
2017,60.0,113.0,105.0
2018,56.0,112.0,108.0
2019,54.0,113.0,108.0
2020,50.0,108.0,121.0
2021,46.0,109.0,121.0
2022,53.97794117647072,136.57352941176487,115.99264705882342
