年份,pi_Employment,si_Employment,ti_Employment
2000,78.89627039627044,22.78088578088591,15.738927738927941
2001,78.3473193473194,23.155011655011776,17.312354312354273
2002,77.79836829836836,23.529137529137643,18.88578088578106
2003,77.24941724941732,23.90326340326351,20.45920745920739
2004,76.70046620046628,24.277389277389375,22.032634032634178
2005,76.15151515151524,24.65151515151524,23.60606060606051
2006,73.0,22.0,26.0
2007,75.0,24.0,28.0
2008,78.0,26.0,26.0
2009,76.0,27.0,28.0
2010,73.0,28.0,33.0
2011,72.0,29.0,34.0
2012,73.0,30.0,34.0
2013,70.0,30.0,36.0
2014,69.0,27.0,39.0
2015,70.0,27.0,39.0
2016,71.0,27.0,40.0
2017,71.0,28.0,43.0
2018,70.0,25.0,44.0
2019,70.0,25.0,48.0
2020,34.0,29.0,72.0
2021,33.0,29.0,73.0
2022,66.81934731934734,31.01165501165508,50.35431235431224
