年份,pi_Employment,si_Employment,ti_Employment
2000,128.4666666666667,46.16428571428696,81.34285714285761
2001,127.76666666666688,52.86785714285725,86.72857142857174
2002,127.06666666666683,59.57142857142935,92.11428571428587
2003,146.0,68.0,111.0
2004,131.0,80.0,112.0
2005,118.0,87.0,113.0
2006,116.0,88.0,114.0
2007,115.0,89.0,115.0
2008,116.0,95.0,119.0
2009,124.0,101.0,111.0
2010,114.0,105.0,123.0
2011,111.0,110.0,127.0
2012,107.0,117.0,133.0
2013,140.0,143.0,165.0
2014,133.0,147.0,167.0
2015,126.0,151.0,168.0
2016,115.0,157.0,174.0
2017,110.0,160.0,176.0
2018,110.0,160.0,176.0
2019,96.0,159.0,177.0
2020,95.0,159.0,177.0
2021,85.0,153.0,180.0
2022,113.06666666666683,193.6428571428587,199.8285714285721
