年份,pi_Employment,si_Employment,ti_Employment
2000,207.30536130536132,24.6002331002328,50.76689976689977
2001,207.06759906759908,26.28554778554735,52.95221445221432
2002,206.82983682983684,27.970862470862357,55.13752913752887
2003,206.5920745920746,29.65617715617691,57.322843822843424
2004,206.35431235431236,31.34149184149146,59.508158508158886
2005,206.11655011655012,33.02680652680601,61.69347319347344
2006,205.87878787878788,34.71212121212102,63.87878787878799
2007,209.0,37.0,66.0
2008,211.0,35.0,66.0
2009,206.0,39.0,68.0
2010,196.0,42.0,74.0
2011,202.0,42.0,76.0
2012,204.0,47.0,78.0
2013,203.0,48.0,81.0
2014,202.0,51.0,83.0
2015,205.0,51.0,85.0
2016,204.0,52.0,86.0
2017,205.0,52.0,87.0
2018,205.0,52.0,87.0
2019,196.0,52.0,147.0
2020,193.0,53.0,145.0
2021,97.0,75.0,149.0
2022,202.0745920745921,61.677156177155666,98.84382284382264
