年份,pi_Employment,si_Employment,ti_Employment
2000,75.46153846153857,22.99067599067598,37.444055944056345
2001,74.3846153846157,23.578088578088455,38.46853146853164
2002,73.30769230769238,24.165501165501155,39.493006993007384
2003,72.23076923076951,24.752913752913628,40.51748251748268
2004,71.15384615384619,25.340326340326328,41.541958041958424
2005,70.07692307692332,25.9277389277388,42.566433566433716
2006,69.0,26.5151515151515,43.59090909090946
2007,72.0,25.0,42.0
2008,71.0,26.0,43.0
2009,64.0,29.0,47.0
2010,62.0,31.0,50.0
2011,61.0,30.0,51.0
2012,60.0,31.0,51.0
2013,59.0,31.0,53.0
2014,59.0,32.0,52.0
2015,59.0,33.0,53.0
2016,59.0,32.0,53.0
2017,59.0,32.0,54.0
2018,59.0,32.0,54.0
2019,59.0,25.0,50.0
2020,59.0,25.0,50.0
2021,33.0,25.0,66.0
2022,51.769230769230944,35.91375291375289,59.98251748251778
