年份,pi_Employment,si_Employment,ti_Employment
2000,1.1433566433566398,317.1480186480185,122.19580419580598
2001,1.0874125874125866,323.90326340326465,146.26573426574032
2002,1.0314685314685335,330.658508158509,170.3356643356674
2003,0.9755244755244803,337.41375291375334,194.40559440559446
2004,0.9195804195804129,344.1689976689977,218.4755244755288
2005,0.8636363636363598,350.92424242424204,242.54545454545587
2006,2.0,372.0,274.0
2007,1.0,355.0,300.0
2008,1.0,362.0,307.0
2009,0.0,374.0,318.0
2010,0.0,390.0,367.0
2011,0.0,383.0,381.0
2012,0.0,373.0,398.0
2013,0.0,437.0,462.0
2014,0.0,432.0,468.0
2015,0.0,423.0,483.0
2016,0.0,418.0,508.0
2017,2.0,419.0,522.0
2018,2.0,515.0,775.0
2019,1.0,509.0,773.0
2020,1.0,479.0,759.0
2021,1.0,486.0,758.0
2022,-0.08741258741258662,465.76340326340323,651.734265734267
