年份,pi_Employment,si_Employment,ti_Employment
2000,86.1585081585082,85.21561771561778,49.30652680652656
2001,85.67249417249423,86.13170163170162,50.495337995338105
2002,85.18648018648014,87.04778554778568,51.68414918414919
2003,84.70046620046617,87.96386946386951,52.87296037296028
2004,84.2144522144522,88.87995337995335,54.061771561771366
2005,83.72843822843822,89.79603729603741,55.25058275058245
2006,83.24242424242425,90.71212121212125,56.439393939393995
2007,85.0,81.0,55.0
2008,86.0,89.0,58.0
2009,80.0,93.0,60.0
2010,82.0,91.0,60.0
2011,78.0,106.0,66.0
2012,77.0,110.0,66.0
2013,76.0,105.0,67.0
2014,79.0,100.0,66.0
2015,81.0,96.0,66.0
2016,79.0,96.0,68.0
2017,79.0,96.0,69.0
2018,79.0,97.0,69.0
2019,78.0,87.0,116.0
2020,78.0,87.0,108.0
2021,32.0,84.0,141.0
2022,75.46620046620046,105.36946386946397,75.46037296037275
