年份,pi_Employment,si_Employment,ti_Employment
2000,114.05476190476202,46.48809523809541,57.514285714286416
2001,111.82261904761981,49.305952380952476,60.442857142857974
2002,109.59047619047669,52.12380952380954,63.37142857142953
2003,111.0,44.0,54.0
2004,106.0,43.0,53.0
2005,103.0,50.0,61.0
2006,100.0,59.0,68.0
2007,95.0,72.0,75.0
2008,93.0,81.0,99.0
2009,93.0,83.0,101.0
2010,93.0,92.0,106.0
2011,92.0,96.0,114.0
2012,88.0,101.0,119.0
2013,83.0,78.0,89.0
2014,82.0,78.0,90.0
2015,79.0,81.0,91.0
2016,79.0,81.0,91.0
2017,79.0,81.0,91.0
2018,79.0,81.0,91.0
2019,78.0,82.0,91.0
2020,76.0,73.0,101.0
2021,70.0,77.0,106.0
2022,64.94761904761981,108.48095238095266,121.94285714285797
