年份,pi_Employment,si_Employment,ti_Employment
2000,95.89160839160832,248.63752913752887,167.76573426574032
2001,93.720279720279,250.97319347319353,186.52447552447848
2002,91.54895104895058,253.30885780885728,205.28321678321663
2003,89.37762237762217,255.64452214452194,224.04195804196206
2004,87.20629370629376,257.9801864801866,242.80069930070022
2005,85.03496503496444,260.31585081585035,261.55944055944565
2006,82.86363636363603,262.651515151515,280.3181818181838
2007,84.0,237.0,287.0
2008,82.0,264.0,318.0
2009,80.0,287.0,347.0
2010,80.0,297.0,362.0
2011,59.0,274.0,378.0
2012,63.0,283.0,397.0
2013,65.0,283.0,404.0
2014,65.0,263.0,433.0
2015,60.0,284.0,441.0
2016,63.0,287.0,461.0
2017,62.0,288.0,485.0
2018,62.0,287.0,514.0
2019,60.0,275.0,767.0
2020,62.0,267.0,797.0
2021,59.0,260.0,839.0
2022,48.122377622376916,300.0221445221441,580.4580419580452
