年份,pi_Employment,si_Employment,ti_Employment
2000,131.73529411764684,50.42205882352937,91.03529411764703
2001,128.125,53.69999999999982,93.27500000000055
2002,138.0,45.0,53.0
2003,126.0,45.0,90.0
2004,118.0,48.0,104.0
2005,112.0,55.0,107.0
2006,101.0,68.0,112.0
2007,99.0,82.0,114.0
2008,97.0,95.0,121.0
2009,98.0,110.0,139.0
2010,94.0,104.0,128.0
2011,94.0,126.0,142.0
2012,84.0,85.0,112.0
2013,83.0,85.0,114.0
2014,80.0,88.0,114.0
2015,79.0,89.0,115.0
2016,78.0,90.0,116.0
2017,78.0,90.0,116.0
2018,77.0,90.0,118.0
2019,76.0,90.0,119.0
2020,70.0,85.0,113.0
2021,66.0,86.0,113.0
2022,52.30882352941171,122.53676470588198,140.30882352941262
