年份,pi_Employment,si_Employment,ti_Employment
2000,115.41608391608395,55.40559440559443,57.966200466200576
2001,115.20279720279723,55.35314685314687,57.59557109557113
2002,114.98951048951051,55.30069930069932,57.2249417249418
2003,114.77622377622379,55.24825174825176,56.85431235431247
2004,114.56293706293707,55.195804195804214,56.483682983683025
2005,114.3496503496504,55.14335664335667,56.113053613053694
2006,114.13636363636368,55.09090909090911,55.74242424242436
2007,107.0,55.0,55.0
2008,108.0,56.0,57.0
2009,116.0,60.0,63.0
2010,115.0,58.0,63.0
2011,119.0,49.0,45.0
2012,117.0,52.0,46.0
2013,116.0,52.0,47.0
2014,116.0,52.0,48.0
2015,114.0,54.0,50.0
2016,112.0,55.0,51.0
2017,106.0,57.0,57.0
2018,107.0,57.0,58.0
2019,105.0,48.0,83.0
2020,104.0,49.0,78.0
2021,51.0,46.0,104.0
2022,110.72377622377627,54.25174825174827,49.81235431235439
