年份,pi_Employment,si_Employment,ti_Employment
2000,16.786813186813106,15.705494505494471,15.087912087912173
2001,16.305494505494494,16.69890109890116,16.43956043956041
2002,15.824175824175768,17.692307692307622,17.791208791208646
2003,19.0,18.0,17.0
2004,16.0,19.0,21.0
2005,14.0,20.0,22.0
2006,13.0,21.0,22.0
2007,12.0,21.0,25.0
2008,11.0,27.0,26.0
2009,11.0,28.0,27.0
2010,11.0,26.0,29.0
2011,11.0,26.0,32.0
2012,10.0,25.0,37.0
2013,11.0,31.0,31.0
2014,10.0,30.0,34.0
2015,11.0,30.0,34.0
2016,11.0,30.0,34.0
2017,11.0,29.0,35.0
2018,11.0,29.0,35.0
2019,11.0,29.0,36.0
2020,7.1604395604394995,35.57362637362644,42.12087912087918
2021,8.0,32.0,33.0
2022,6.197802197802162,37.56043956043959,44.824175824175654
