年份,pi_Employment,si_Employment,ti_Employment
2000,0.7582417582417662,10.417582417582707,13.14285714285711
2001,0.6978021978022042,11.56043956043959,13.467032967032992
2002,0.6373626373626422,12.703296703296928,13.79120879120876
2003,0.5769230769230802,13.846153846153811,14.115384615384642
2004,1.0,16.0,15.0
2005,1.0,16.0,16.0
2006,0.0,20.0,15.0
2007,0.0,20.0,15.0
2008,0.0,19.0,15.0
2009,0.0,19.0,16.0
2010,0.0,18.0,16.0
2011,0.0,19.0,17.0
2012,0.0,23.0,15.0
2013,0.0,25.0,16.0
2014,0.0,32.0,19.0
2015,0.0,29.0,19.0
2016,0.0,28.0,19.0
2017,0.0,26.0,19.0
2018,0.0,24.0,19.0
2019,0.0,19.0,18.0
2020,0.0,16.0,19.0
2021,-0.5109890109890074,34.41758241758271,19.950549450549488
2022,-0.5714285714285694,35.56043956043959,20.274725274725256
