年份,pi_Employment,si_Employment,ti_Employment
2000,200.53496503496444,85.63986013986005,54.08974358974365
2001,196.61888111888038,83.97552447552471,55.7051282051284
2002,192.70279720279723,82.31118881118891,57.320512820512704
2003,188.78671328671317,80.64685314685312,58.93589743589746
2004,184.8706293706291,78.98251748251732,60.551282051282215
2005,180.95454545454504,77.31818181818198,62.166666666666515
2006,171.0,68.0,64.0
2007,171.0,81.0,62.0
2008,184.0,81.0,67.0
2009,184.0,88.0,75.0
2010,149.0,58.0,67.0
2011,149.0,56.0,71.0
2012,147.0,57.0,74.0
2013,145.0,60.0,76.0
2014,142.0,61.0,78.0
2015,142.0,62.0,78.0
2016,142.0,62.0,79.0
2017,140.0,64.0,81.0
2018,136.0,62.0,129.0
2019,136.0,62.0,126.0
2020,79.0,61.0,131.0
2021,77.0,62.0,133.0
2022,114.38111888111871,49.02447552447575,89.62820512820508
