年份,pi_Employment,si_Employment,ti_Employment
2000,44.59999999999991,54.98809523809541,24.57380952380845
2001,43.20000000000027,57.555952380952476,28.06309523809432
2002,41.80000000000018,60.12380952380954,31.55238095238019
2003,44.0,55.0,42.0
2004,39.0,60.0,41.0
2005,37.0,63.0,45.0
2006,35.0,68.0,45.0
2007,33.0,75.0,46.0
2008,30.0,81.0,46.0
2009,32.0,84.0,49.0
2010,32.0,88.0,54.0
2011,34.0,90.0,58.0
2012,26.0,96.0,69.0
2013,24.0,92.0,76.0
2014,24.0,91.0,77.0
2015,24.0,90.0,79.0
2016,23.0,89.0,81.0
2017,22.0,88.0,84.0
2018,22.0,88.0,84.0
2019,22.0,85.0,88.0
2020,22.0,84.0,90.0
2021,20.0,79.0,100.0
2022,13.800000000000182,111.48095238095266,101.33809523809396
