年份,pi_Employment,si_Employment,ti_Employment
2000,114.48351648351672,171.42857142857065,59.79120879120819
2001,108.25824175824346,178.670329670329,69.95054945055017
2002,102.03296703296837,185.91208791208737,80.10989010989215
2003,95.80769230769329,193.15384615384573,90.26923076923049
2004,88.0,198.0,100.0
2005,80.0,201.0,115.0
2006,76.0,213.0,126.0
2007,71.0,224.0,135.0
2008,68.0,229.0,142.0
2009,65.0,233.0,143.0
2010,69.0,239.0,135.0
2011,32.0,266.0,178.0
2012,33.0,274.0,188.0
2013,30.0,275.0,197.0
2014,29.0,274.0,200.0
2015,19.0,273.0,219.0
2016,19.0,271.0,220.0
2017,18.0,272.0,230.0
2018,16.0,275.0,240.0
2019,16.0,271.0,254.0
2020,16.0,319.0,254.0
2021,-16.24725274725097,323.5054945054944,273.1373626373643
2022,-22.472527472526053,330.7472527472528,283.2967032967026
