年份,pi_Employment,si_Employment,ti_Employment
2000,33.73426573426559,173.26223776223742,108.60722610722678
2001,32.996503496503465,178.89160839160832,112.26456876456905
2002,32.25874125874111,184.5209790209792,115.92191142191132
2003,31.520979020978984,190.1503496503501,119.5792540792545
2004,30.783216783216858,195.77972027971919,123.23659673659677
2005,30.045454545454504,201.40909090909008,126.89393939393995
2006,29.0,197.0,125.0
2007,28.0,203.0,128.0
2008,28.0,197.0,137.0
2009,27.0,206.0,148.0
2010,26.0,264.0,153.0
2011,26.0,265.0,154.0
2012,27.0,258.0,152.0
2013,25.0,257.0,156.0
2014,22.0,257.0,159.0
2015,22.0,253.0,164.0
2016,22.0,252.0,165.0
2017,21.0,247.0,167.0
2018,19.0,264.0,247.0
2019,21.0,263.0,248.0
2020,23.0,297.0,279.0
2021,22.0,301.0,277.0
2022,17.503496503496535,297.1083916083917,189.0687645687649
