年份,pi_Employment,si_Employment,ti_Employment
2000,49.68351648351654,112.23956043955877,35.03736263736391
2001,48.30329670329684,118.45494505494389,40.24395604395613
2002,46.92307692307713,124.67032967032901,45.45054945055017
2003,49.0,100.0,51.0
2004,44.0,98.0,60.0
2005,42.0,144.0,54.0
2006,42.0,167.0,66.0
2007,39.0,181.0,69.0
2008,37.0,177.0,80.0
2009,36.0,187.0,85.0
2010,35.0,193.0,89.0
2011,34.0,197.0,91.0
2012,32.0,198.0,97.0
2013,32.0,194.0,102.0
2014,31.0,193.0,108.0
2015,30.0,186.0,113.0
2016,29.0,183.0,118.0
2017,28.0,181.0,124.0
2018,27.0,180.0,129.0
2019,25.0,176.0,134.0
2020,22.079120879121092,236.54725274725206,139.16923076923194
2021,11.0,173.0,146.0
2022,19.31868131868123,248.97802197802048,149.5824175824182
