年份,pi_Employment,si_Employment,ti_Employment
2000,129.31176470588161,63.082352941176396,89.44264705882352
2001,127.07499999999982,66.47500000000036,89.22500000000002
2002,137.0,49.0,81.0
2003,129.0,54.0,84.0
2004,119.0,60.0,89.0
2005,111.0,72.0,84.0
2006,110.0,91.0,88.0
2007,115.0,95.0,92.0
2008,103.0,112.0,95.0
2009,101.0,121.0,96.0
2010,99.0,134.0,99.0
2011,97.0,145.0,109.0
2012,114.0,90.0,73.0
2013,111.0,92.0,74.0
2014,105.0,97.0,77.0
2015,100.0,99.0,83.0
2016,89.0,107.0,87.0
2017,89.0,107.0,87.0
2018,84.0,101.0,97.0
2019,83.0,97.0,102.0
2020,74.0,93.0,116.0
2021,70.0,94.0,116.0
2022,80.10294117647027,137.7205882352946,84.65441176470591
