年份,pi_Employment,si_Employment,ti_Employment
2000,206.8023809523802,107.31904761904752,83.32857142857029
2001,203.348809523809,111.44047619047615,89.63571428571413
2002,199.8952380952378,115.56190476190477,95.94285714285616
2003,216.0,95.0,81.0
2004,196.0,103.0,82.0
2005,190.0,111.0,94.0
2006,183.0,128.0,142.0
2007,177.0,145.0,147.0
2008,170.0,152.0,155.0
2009,163.0,169.0,154.0
2010,162.0,180.0,159.0
2011,162.0,187.0,171.0
2012,153.0,205.0,171.0
2013,180.0,140.0,158.0
2014,172.0,146.0,161.0
2015,163.0,151.0,168.0
2016,153.0,156.0,174.0
2017,144.0,160.0,179.0
2018,144.0,160.0,179.0
2019,120.0,170.0,193.0
2020,107.0,173.0,204.0
2021,95.0,167.0,221.0
2022,130.82380952380936,197.99047619047724,222.08571428571304
