年份,pi_Employment,si_Employment,ti_Employment
2000,106.68131868131877,111.58241758241729,76.09890109890148
2001,103.85164835164869,115.32417582417565,78.8351648351645
2002,101.02197802197861,119.06593406593402,81.57142857142844
2003,98.19230769230762,122.80769230769238,84.30769230769238
2004,102.0,123.0,80.0
2005,98.0,128.0,89.0
2006,93.0,128.0,91.0
2007,83.0,138.0,96.0
2008,77.0,146.0,103.0
2009,76.0,146.0,105.0
2010,75.0,149.0,106.0
2011,72.0,167.0,107.0
2012,71.0,160.0,112.0
2013,68.0,162.0,113.0
2014,68.0,163.0,114.0
2015,68.0,164.0,114.0
2016,68.0,163.0,115.0
2017,68.0,163.0,116.0
2018,68.0,162.0,119.0
2019,69.0,164.0,121.0
2020,69.0,162.0,124.0
2021,47.25824175824164,190.15934065934107,133.5604395604396
2022,44.42857142857156,193.90109890109852,136.29670329670353
