年份,pi_Employment,si_Employment,ti_Employment
2000,64.7802197802198,32.692307692307736,23.637362637362912
2001,63.91758241758248,33.076923076923094,24.950549450549715
2002,63.054945054945165,33.46153846153845,26.26373626373652
2003,62.19230769230762,33.846153846153925,27.576923076923322
2004,62.0,30.0,28.0
2005,61.0,33.0,30.0
2006,60.0,34.0,31.0
2007,58.0,38.0,33.0
2008,57.0,38.0,35.0
2009,57.0,38.0,37.0
2010,56.0,39.0,39.0
2011,55.0,37.0,36.0
2012,54.0,39.0,38.0
2013,53.0,40.0,40.0
2014,53.0,40.0,40.0
2015,53.0,30.0,51.0
2016,51.0,39.0,40.0
2017,50.0,40.0,43.0
2018,50.0,40.0,44.0
2019,49.0,40.0,46.0
2020,47.0,43.0,45.0
2021,46.66483516483527,40.76923076923083,51.21428571428578
2022,45.802197802197725,41.15384615384619,52.52747252747258
