年份,pi_Employment,si_Employment,ti_Employment
2000,0.1978021978021971,16.351648351648464,7.967032967032992
2001,0.20879120879120805,17.208791208791354,8.631868131868032
2002,0.219780219780219,18.065934065934243,9.2967032967033
2003,0.23076923076922995,18.923076923076906,9.961538461538339
2004,0.0,22.0,9.0
2005,0.0,21.0,10.0
2006,0.0,22.0,12.0
2007,0.0,22.0,13.0
2008,0.0,22.0,14.0
2009,1.0,22.0,15.0
2010,1.0,22.0,16.0
2011,1.0,23.0,17.0
2012,1.0,29.0,16.0
2013,0.0,29.0,17.0
2014,0.0,32.0,17.0
2015,0.0,31.0,17.0
2016,0.0,27.0,17.0
2017,0.0,26.0,17.0
2018,0.0,23.0,17.0
2019,0.0,21.0,16.0
2020,0.0,20.0,18.0
2021,0.42857142857142705,34.351648351648464,21.92857142857133
2022,0.439560439560438,35.208791208791354,22.5934065934066
