年份,pi_Employment,si_Employment,ti_Employment
2000,124.85714285714221,114.40659340659295,103.96703296703345
2001,121.07142857142844,118.71978021977884,106.9780219780223
2002,117.28571428571377,123.03296703296655,109.98901098901115
2003,113.5,127.34615384615245,113.0
2004,122.0,127.0,109.0
2005,106.0,137.0,121.0
2006,104.0,140.0,125.0
2007,101.0,143.0,126.0
2008,89.0,153.0,132.0
2009,84.0,157.0,134.0
2010,78.0,162.0,138.0
2011,75.0,160.0,132.0
2012,76.0,162.0,133.0
2013,75.0,171.0,143.0
2014,75.0,175.0,147.0
2015,74.0,179.0,150.0
2016,72.0,182.0,153.0
2017,70.0,181.0,152.0
2018,69.0,182.0,155.0
2019,68.0,184.0,156.0
2020,67.0,184.0,158.0
2021,45.35714285714221,204.9835164835149,167.19780219780205
2022,41.57142857142844,209.29670329670262,170.2087912087909
