年份,pi_Employment,si_Employment,ti_Employment
2000,0.0,55.22197802197843,44.87032967032928
2001,0.0,58.13846153846225,46.52307692307659
2002,0.0,61.054945054945165,48.17582417582389
2003,0.0,57.0,41.0
2004,0.0,63.0,43.0
2005,0.0,66.0,50.0
2006,0.0,71.0,52.0
2007,0.0,81.0,66.0
2008,0.0,87.0,77.0
2009,0.0,87.0,77.0
2010,0.0,89.0,56.0
2011,0.0,91.0,59.0
2012,0.0,92.0,62.0
2013,0.0,92.0,64.0
2014,0.0,94.0,65.0
2015,0.0,95.0,67.0
2016,0.0,96.0,69.0
2017,0.0,96.0,72.0
2018,0.0,96.0,74.0
2019,0.0,95.0,79.0
2020,0.0,113.55164835164851,77.92527472527445
2021,0.0,101.0,89.0
2022,0.0,119.38461538461615,81.23076923076906
