年份,pi_Employment,si_Employment,ti_Employment
2000,0.0,32.604395604395904,32.45054945054926
2001,0.0,34.96703296703254,35.46703296703345
2002,0.0,37.32967032967008,38.48351648351672
2003,0.0,39.69230769230762,41.5
2004,0.0,38.0,42.0
2005,0.0,39.0,41.0
2006,0.0,46.0,52.0
2007,0.0,49.0,52.0
2008,0.0,57.0,61.0
2009,0.0,58.0,63.0
2010,0.0,56.0,67.0
2011,0.0,62.0,66.0
2012,0.0,61.0,72.0
2013,0.0,69.0,72.0
2014,0.0,72.0,76.0
2015,0.0,67.0,75.0
2016,0.0,57.0,75.0
2017,0.0,58.0,78.0
2018,0.0,54.0,77.0
2019,0.0,55.0,75.0
2020,0.0,58.0,88.0
2021,0.0,82.21978021977975,95.79670329670353
2022,0.0,84.58241758241729,98.8131868131868
