年份,pi_Employment,si_Employment,ti_Employment
2000,79.1177156177157,64.72377622377644,39.43240093240047
2001,78.20163170163187,67.62587412587436,41.19114219114181
2002,77.2855477855478,70.52797202797228,42.949883449883146
2003,76.36946386946397,73.4300699300702,44.708624708624484
2004,75.45337995338014,76.33216783216812,46.46736596736582
2005,74.53729603729607,79.23426573426605,48.22610722610716
2006,73.62121212121224,82.13636363636397,49.984848484848044
2007,71.0,68.0,43.0
2008,71.0,71.0,45.0
2009,70.0,105.0,63.0
2010,71.0,108.0,65.0
2011,71.0,104.0,63.0
2012,70.0,105.0,64.0
2013,69.0,107.0,63.0
2014,65.0,110.0,65.0
2015,65.0,108.0,65.0
2016,64.0,109.0,65.0
2017,63.0,109.0,67.0
2018,62.0,108.0,69.0
2019,60.0,98.0,89.0
2020,60.0,101.0,87.0
2021,37.0,97.0,112.0
2022,58.963869463869514,128.5699300699307,78.12470862470855
