年份,pi_Employment,si_Employment,ti_Employment
2000,42.25,128.46176470588398,70.45441176470558
2001,40.5,135.02500000000146,76.39999999999964
2002,45.0,111.0,67.0
2003,39.0,140.0,81.0
2004,35.0,150.0,89.0
2005,34.0,159.0,96.0
2006,30.0,172.0,106.0
2007,28.0,183.0,114.0
2008,26.0,199.0,125.0
2009,24.0,200.0,140.0
2010,23.0,210.0,149.0
2011,20.0,212.0,154.0
2012,18.0,224.0,147.0
2013,18.0,223.0,149.0
2014,18.0,221.0,151.0
2015,18.0,219.0,153.0
2016,17.0,215.0,155.0
2017,17.0,215.0,155.0
2018,16.0,214.0,159.0
2019,15.0,213.0,159.0
2020,14.0,206.0,199.0
2021,13.0,207.0,199.0
2022,3.75,272.8529411764721,201.25735294117658
