年份,pi_Employment,si_Employment,ti_Employment
2000,9.201631701631698,30.476689976690068,48.53146853146853
2001,8.998834498834526,31.94522144522125,48.548951048951054
2002,8.796037296037298,33.41375291375289,48.56643356643357
2003,8.593240093240126,34.882284382284524,48.58391608391609
2004,8.390442890442898,36.35081585081571,48.60139860139861
2005,8.187645687645727,37.819347319347344,48.61888111888112
2006,7.984848484848499,39.28787878787898,48.63636363636364
2007,10.0,42.0,47.0
2008,7.0,43.0,49.0
2009,7.0,44.0,51.0
2010,7.0,42.0,46.0
2011,6.0,46.0,51.0
2012,6.0,46.0,51.0
2013,6.0,49.0,50.0
2014,6.0,54.0,46.0
2015,6.0,55.0,47.0
2016,7.0,55.0,47.0
2017,6.0,55.0,49.0
2018,6.0,55.0,51.0
2019,6.0,67.0,92.0
2020,6.0,65.0,90.0
2021,5.0,60.0,83.0
2022,4.740093240093245,62.784382284382446,48.91608391608392
