city_id,year,pred
city1,2023,269.8857143
city10,2023,262.642857
city11,2023,346.8571421
city12,2023,506.454253
city13,2023,623.2069202
city14,2023,382.6802928
city15,2023,1094.515641
city16,2023,339.1902272
city17,2023,964.1405069
city18,2023,389.9382911
city19,2023,503.5289133
city2,2023,533.3848724
city20,2023,251.7857143
city21,2023,888.2706022
city22,2023,785.9390649
city23,2023,135.2938277
city24,2023,544.77658
city25,2023,626.8320209
city26,2023,762.9791634
city27,2023,352.0144426
city28,2023,835.6580556
city29,2023,620.7836892
city3,2023,606.8551593
city30,2023,561.5398713
city31,2023,153.2332696
city32,2023,439.3464385
city33,2023,856.8759205
city34,2023,835.2406836
city35,2023,898.354864
city36,2023,143.9845058
city37,2023,459.7799282
city38,2023,466.8269638
city39,2023,200.7917554
city4,2023,97
city40,2023,270.7857133
city5,2023,788.16882
city6,2023,449.384037
city7,2023,450.7049569
city8,2023,577.3136595
city9,2023,587.3970282
