city_id,year,pred
city1,2023,269.8857143
city10,2023,276.4021978
city11,2023,365.9406593
city12,2023,506.4615385
city13,2023,619.1824176
city14,2023,386.7052632
city15,2023,1088.763736
city16,2023,340.5789474
city17,2023,951.9473684
city18,2023,389.3406593
city19,2023,496.7802198
city2,2023,506.6923077
city20,2023,259.4065934
city21,2023,798.8
city22,2023,713.5472527
city23,2023,135.4421053
city24,2023,694.6105263
city25,2023,613.6
city26,2023,762.9714286
city27,2023,592.5894737
city28,2023,833.1368421
city29,2023,619.6857143
city3,2023,505.2947368
city30,2023,558.5516484
city31,2023,401.5473684
city32,2023,439.0947368
city33,2023,854.1406593
city34,2023,835.1340659
city35,2023,885.1578947
city36,2023,434.7157895
city37,2023,459.7802198
city38,2023,465.2947368
city39,2023,200.3052632
city4,2023,97
city40,2023,272.3098901
city5,2023,727.5846154
city6,2023,443.2631579
city7,2023,450.6241758
city8,2023,576.3802198
city9,2023,851.4736842
