city_id,year,pred
city1,2023,311.44755244755197
city10,2023,199.84615384615427
city11,2023,504.9125874125875
city12,2023,457.48547717842325
city13,2023,472.2738589211617
city14,2023,340.54705882352937
city15,2023,862.9312354312353
city16,2023,282.0808823529412
city17,2023,1818.9705882352864
city18,2023,500.8216783216794
city19,2023,589.6095571095575
city2,2023,727.2365145228214
city20,2023,202.5349650349649
city21,2023,1020.6620046620046
city22,2023,937.3983402489648
city23,2023,214.41617647058774
city24,2023,612.976689976691
city25,2023,879.038461538461
city26,2023,721.7302904564315
city27,2023,594.0852941176472
city28,2023,1692.8897058823495
city29,2023,636.8846153846152
city3,2023,1647.7250000000058
city30,2023,438.74688796680493
city31,2023,493.0029411764717
city32,2023,434.28904428904434
city33,2023,1042.7750582750596
city34,2023,680.4647302904559
city35,2023,771.4308823529427
city36,2023,346.39627039627067
city37,2023,443.0041493775934
city38,2023,436.92941176470595
city39,2023,189.12004662004665
city4,2023,126.12703962704018
city40,2023,335.2738589211622
city5,2023,1284.9004149377652
city6,2023,1016.7161764705888
city7,2023,542.2843822843843
city8,2023,475.0290456431535
city9,2023,629.7676470588231
