city_id,year,pred
city1,2023,311.4475524
city10,2023,199.8461538
city11,2023,504.9125874
city12,2023,457.4854772
city13,2023,504.4847061
city14,2023,340.5470588
city15,2023,862.9312354
city16,2023,282.0808824
city17,2023,1818.970588
city18,2023,500.8216783
city19,2023,589.6095571
city2,2023,727.2365145
city20,2023,202.534965
city21,2023,1020.662005
city22,2023,937.3983402
city23,2023,269.0126737
city24,2023,612.97669
city25,2023,879.0384615
city26,2023,721.7302905
city27,2023,594.0852941
city28,2023,1692.889706
city29,2023,636.8846154
city3,2023,1647.725
city30,2023,438.746888
city31,2023,533.0029412
city32,2023,434.2890443
city33,2023,1042.775058
city34,2023,680.4647303
city35,2023,771.4308824
city36,2023,346.3962704
city37,2023,443.0041494
city38,2023,436.9294118
city39,2023,189.1200466
city4,2023,126.1270396
city40,2023,335.2738589
city5,2023,1284.900415
city6,2023,1016.716176
city7,2023,542.2843823
city8,2023,475.0290456
city9,2023,629.7676471
