year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,338.0,387.0,nan,3.0,nan,nan,nan,nan,nan
2002,347.0,389.0,nan,3.0,nan,nan,nan,nan,nan
2003,352.0,391.0,nan,3.0,nan,nan,nan,nan,nan
2004,357.0,393.0,nan,3.0,nan,nan,nan,nan,nan
2005,364.0,394.0,39,3.0,nan,nan,nan,nan,nan
2006,368.0,396.0,45,3.0,nan,nan,nan,nan,nan
2007,376.0,405.0,45,3.0,107,55,55,nan,nan
2008,378.0,408.0,45,3.0,108,56,57,nan,nan
2009,381.0,410.0,45,3.0,116,60,63,nan,nan
2010,384.0,414.0,42,2.0,115,58,63,nan,nan
2011,392.0,422.0,42,2.0,119,49,45,nan,nan
2012,394.0,427.0,43,3.0,117,52,46,nan,nan
2013,396.0,428.0,44,2.0,116,52,47,nan,nan
2014,399.0,430.0,44,2.0,116,52,48,nan,nan
2015,399.0,434.0,44,2.0,114,54,50,nan,16359
2016,400.0,438.0,45,2.0,112,55,51,nan,17880
2017,402.0,444.0,45,2.0,106,57,57,nan,18945
2018,404.0,446.0,47,2.0,107,57,58,nan,19983.0
2019,407.0,450.0,49,2.0,105,48,83,nan,21684.0
2020,409.0,454.0,51,2.0,104,49,78,nan,20988.0
2021,412.0,455.0,52,2.0,51,46,104,nan,23028
