year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,2,114,29,39,nan,nan
2002,nan,nan,nan,2,115,29,41,nan,nan
2003,nan,nan,nan,2,112,28,43,nan,nan
2004,332,345,nan,2,105,36,42,nan,nan
2005,335,347,nan,2,100,32,52,nan,nan
2006,323,349,nan,2,101,32,54,nan,nan
2007,322,352,nan,2,98,36,53,nan,nan
2008,321,355,nan,2,97,37,56,nan,nan
2009,321,358,47,2,96,38,57,nan,nan
2010,321,361,45,2,96,40,59,nan,nan
2011,316,362,47,2,95,44,73,nan,nan
2012,318,365,48,2,97,49,80,nan,nan
2013,318,368,50,2,97,49,80,nan,nan
2014,322,367,51,2,98,49,52,nan,nan
2015,326,371,52,4,100,45,74,26367,14694
2016,329,376,54,4,101,53,73,28653,15600
2017,333,380,55,2,101,53,78,31158,16890
2018,338,381,57,2,101,52,83,33855,18396
2019,339,384,59,1,112,57,93,37026,19980
2020,341,386,55,1,100,53,88,39114,20754
2021,330,390,57,1,57,46,70,42654,23661
