year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,360,nan,3,nan,nan,nan,nan,nan
2002,nan,360,nan,3,nan,nan,nan,nan,nan
2003,nan,363,24,4,nan,nan,nan,nan,nan
2004,nan,366,25,4,1,15,11,nan,nan
2005,nan,366,25,3,0,17,11,nan,nan
2006,363,369,25,3,0,24,12,nan,nan
2007,366,372,25,3,0,23,12,nan,nan
2008,367,372,28,3,0,23,12,nan,nan
2009,369,375,28,3,0,24,12,nan,nan
2010,370,375,32,3,0,23,12,nan,nan
2011,375,375,37,3,0,24,13,nan,nan
2012,377,378,38,3,0,28,14,nan,nan
2013,379,378,51,2,0,28,15,nan,nan
2014,381,381,52,2,0,34,18,nan,nan
2015,384,384,55,2,0,34,18,nan,19233
2016,386,387,57,2,0,34,19,16605,20727
2017,389,390,59,2,0,32,19,18183,22182
2018,391,393,58,3,0,28,19,19854,23094
2019,392,396,58,2,0,27,17,21600,18852
2020,392,396,60,2,0,23,20,22485,24633
2021,393,396,60,2,nan,20,20,24510,26511
