year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,168,33,62,nan,nan
2002,nan,nan,nan,nan,165,34,64,nan,nan
2003,nan,nan,nan,nan,162,63,40,nan,nan
2004,nan,nan,nan,nan,157,65,42,nan,nan
2005,nan,nan,34,nan,155,73,49,nan,nan
2006,nan,nan,35,nan,151,58,48,nan,nan
2007,nan,nan,36,nan,131,50,49,nan,nan
2008,nan,nan,38,nan,122,63,50,nan,nan
2009,430,493,39,4,124,65,52,nan,nan
2010,434,497,39,4,120,65,58,nan,nan
2011,422,502,40,3,117,69,58,nan,nan
2012,423,503,42,3,113,69,59,nan,nan
2013,425,505,43,3,111,71,58,nan,nan
2014,425,508,45,3,109,76,65,nan,nan
2015,425,509,46,4,109,77,64,26655,17892
2016,429,506,48,4,105,79,67,28959,19275
2017,431,508,49,3,102,81,71,31449,21120
2018,432,510,50,3,101,74,74,34140,22959
2019,432,510,52,2,99,78,73,37251,25335
2020,433,509,50,3,97,78,75,39546,25605
2021,426,508,51,3,95,78,78,42996,27963
