year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,525,573,nan,2,nan,nan,nan,nan,nan
2002,537,579,nan,3,nan,nan,nan,nan,nan
2003,543,582,nan,3,nan,nan,nan,nan,nan
2004,548,588,nan,3,nan,nan,nan,nan,nan
2005,557,600,41,3,nan,nan,nan,nan,nan
2006,560,609,45,3,nan,nan,nan,nan,nan
2007,570,621,45,3,114,75,60,nan,nan
2008,577,633,45,3,111,75,66,nan,nan
2009,578,639,45,3,111,78,63,nan,nan
2010,581,648,47,3,108,81,66,nan,nan
2011,588,660,48,3,93,93,81,nan,nan
2012,586,669,49,2,93,96,84,nan,nan
2013,585,672,50,2,90,96,81,nan,nan
2014,583,681,51,2,90,96,84,nan,nan
2015,582,693,48,2,90,96,84,16308,15087
2016,579,699,48,2,90,96,84,17652,16059
2017,577,696,48,2,87,96,90,18750,16746
2018,571,702,49,2,87,93,90,20040,16905
2019,566,705,50,2,75,45,63,21339,17181
2020,563,705,51,3,75,54,66,21819,17415
2021,558,711,52,2,60,66,102,23778,19779
