year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,115,46,68,nan,nan
2002,nan,nan,nan,nan,113,44,69,nan,nan
2003,nan,nan,nan,nan,108,44,74,nan,nan
2004,nan,nan,nan,nan,105,45,77,nan,nan
2005,nan,nan,36,nan,102,54,89,nan,nan
2006,nan,nan,37,nan,100,60,67,nan,nan
2007,nan,nan,38,nan,98,57,67,nan,nan
2008,nan,nan,40,nan,96,61,72,nan,nan
2009,365,387,41,4,96,54,61,nan,nan
2010,366,388,41,4,92,60,58,nan,nan
2011,362,389,43,4,89,59,56,nan,nan
2012,359,391,45,4,88,59,65,nan,nan
2013,353,392,46,4,83,57,70,nan,nan
2014,352,392,47,4,82,59,78,nan,nan
2015,351,393,48,4,79,54,85,27048,19968
2016,351,390,50,4,78,53,89,29157,21531
2017,352,392,51,4,78,55,91,31608,22734
2018,353,388,52,4,74,59,84,34215,23958
2019,355,387,54,4,71,59,86,37221,25455
2020,356,385,56,3,70,60,87,39357,24279
2021,346,382,57,4,69,60,88,42762,26352
