year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,2,nan,nan,nan,nan,nan
2002,nan,nan,nan,2,nan,nan,nan,nan,nan
2003,nan,nan,44,2,nan,nan,nan,nan,nan
2004,nan,nan,46,2,0,22,13,nan,nan
2005,nan,nan,47,2,0,23,13,nan,nan
2006,278,249,47,2,0,25,13,nan,nan
2007,279,249,47,2,0,25,13,nan,nan
2008,280,249,58,2,0,24,13,nan,nan
2009,281,252,59,2,0,25,13,nan,nan
2010,282,252,58,2,0,25,14,nan,nan
2011,280,252,59,2,0,25,15,nan,nan
2012,280,252,59,2,0,41,16,nan,nan
2013,280,252,60,2,0,41,16,nan,nan
2014,281,252,61,2,0,37,19,nan,nan
2015,281,252,63,2,0,36,20,21375,23523
2016,281,252,65,2,0,37,20,23193,25638
2017,282,255,66,2,0,39,20,25242,27897
2018,283,255,68,2,0,37,20,27387,29973
2019,283,255,69,2,0,32,20,29688,25419
2020,284,255,70,2,0,28,20,30936,31251
2021,291,255,71,2,0,24,20,33504,33750
