year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,315.0,384.0,nan,3.0,nan,nan,nan,nan,nan
2002,327.0,387.0,nan,3.0,nan,nan,nan,nan,nan
2003,335.0,387.0,nan,4.0,nan,nan,nan,nan,nan
2004,343.0,387.0,nan,3.0,nan,nan,nan,nan,nan
2005,353.0,390.0,38,3.0,nan,nan,nan,nan,nan
2006,359.0,393.0,34,3.0,nan,nan,nan,nan,nan
2007,362.0,396.0,34,3.0,105,45,54,nan,nan
2008,366.0,402.0,35,3.0,102,51,57,nan,nan
2009,367.0,405.0,35,3.0,105,30,33,nan,nan
2010,368.0,408.0,48,3.0,108,33,36,nan,nan
2011,370.0,411.0,48,3.0,105,42,42,nan,nan
2012,374.0,414.0,48,3.0,105,45,45,nan,nan
2013,377.0,405.0,48,2.0,105,42,45,nan,nan
2014,379.0,408.0,48,2.0,105,42,48,nan,nan
2015,384.0,411.0,49,2.0,105,45,51,17070.0,15918
2016,386.0,417.0,50,2.0,102,45,60,18858,17793
2017,388.0,432.0,50,2.0,102,39,60,20691,19230
2018,391.0,435.0,51,2.0,99,39,63,22368,20268.0
2019,393.0,441.0,52,2.0,93,39,63,24360.0,21618.0
2020,395.0,444.0,55,2.0,93,36,66,26052.0,21774.0
2021,397.0,447.0,55,2.0,42,39,96,28740.0,23985
