year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,3,nan,nan,nan,nan,nan
2002,nan,nan,nan,3,nan,nan,nan,nan,nan
2003,nan,nan,32,3,nan,nan,nan,nan,nan
2004,nan,nan,32,4,1,25,19,nan,nan
2005,nan,549,30,3,1,24,18,nan,nan
2006,539,549,29,3,0,31,19,nan,nan
2007,541,549,29,3,0,31,18,nan,nan
2008,543,552,29,3,0,31,19,nan,nan
2009,546,552,28,3,0,31,21,nan,nan
2010,548,555,34,3,0,32,21,nan,nan
2011,550,555,35,3,0,34,22,nan,nan
2012,551,558,37,3,0,42,24,nan,nan
2013,553,558,54,2,0,44,24,nan,nan
2014,557,558,55,2,0,50,28,nan,nan
2015,558,561,57,2,0,48,29,20118,16521
2016,560,564,59,2,0,45,28,21852,17898
2017,564,567,61,2,0,40,29,23847,19374
2018,565,570,62,2,0,38,29,25902,20859
2019,564,570,62,2,0,28,23,28053,18102
2020,564,573,64,2,0,26,24,29259,22992
2021,548,570,65,2,0,24,25,31842,24696
