year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,246.0,294.0,nan,4.0,nan,nan,nan,nan,nan
2002,255.0,297.0,nan,3.0,nan,nan,nan,nan,nan
2003,261.0,300.0,nan,3.0,nan,nan,nan,nan,nan
2004,267.0,306.0,nan,3.0,nan,nan,nan,nan,nan
2005,275.0,309.0,52,3.0,nan,nan,nan,nan,nan
2006,280.0,315.0,52,3.0,nan,nan,nan,nan,nan
2007,285.0,321.0,52,3.0,60,39,21,nan,nan
2008,289.0,327.0,53,3.0,63,39,24,nan,nan
2009,292.0,333.0,57,3.0,63,27,27,nan,nan
2010,293.0,339.0,54,3.0,63,27,27,nan,nan
2011,287.0,342.0,55,3.0,51,30,33,nan,nan
2012,285.0,345.0,55,3.0,51,30,33,nan,nan
2013,283.0,345.0,55,2.0,51,30,33,nan,nan
2014,281.0,351.0,55,2.0,51,30,33,nan,nan
2015,279.0,357.0,55,2.0,51,30,33,16473.0,15873
2016,277.0,357.0,55,2.0,51,33,33,17934,17373
2017,275.0,360.0,55,2.0,51,33,33,19323,18495
2018,273.0,360.0,55,2.0,48,33,33,21000,19800.0
2019,271.0,354.0,56,2.0,48,30,39,22782.0,21420.0
2020,269.0,354.0,57,2.0,48,30,42,24426.0,22491.0
2021,267.0,363.0,58,2.0,30,27,63,27420.0,24291
