year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,215.0,255.0,nan,nan,nan,nan,nan,nan,nan
2002,221.0,258.0,nan,nan,nan,nan,nan,nan,nan
2003,225.0,258.0,nan,4.0,nan,nan,nan,nan,nan
2004,228.0,261.0,nan,3.0,nan,nan,nan,nan,nan
2005,232.0,261.0,37,3.0,nan,nan,nan,nan,nan
2006,234.0,261.0,50,3.0,nan,nan,nan,nan,nan
2007,235.0,264.0,50,2.0,69,21,21,nan,nan
2008,233.0,267.0,50,3.0,69,21,21,nan,nan
2009,234.0,270.0,50,3.0,81,24,24,nan,nan
2010,233.0,273.0,37,3.0,84,24,24,nan,nan
2011,236.0,282.0,37,3.0,75,24,24,nan,nan
2012,236.0,285.0,39,3.0,75,30,24,nan,nan
2013,236.0,285.0,39,2.0,75,27,24,nan,nan
2014,236.0,288.0,39,2.0,75,27,24,nan,nan
2015,237.0,294.0,38,2.0,75,27,24,15210.0,13926
2016,237.0,297.0,39,2.0,75,27,27,16515,14727
2017,238.0,300.0,39,2.0,75,27,27,17874,15918
2018,238.0,297.0,41,2.0,75,27,27,19239,16398.0
2019,238.0,300.0,42,2.0,69,18,36,20937.0,17637.0
2020,238.0,300.0,44,4.0,66,18,36,22305.0,17535.0
2021,238.0,300.0,45,4.0,27,24,45,24609.0,19056
