year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,1,224,29,48,nan,nan
2002,nan,nan,nan,1,223,30,51,nan,nan
2003,nan,nan,nan,1,219,31,54,nan,nan
2004,572,593,nan,1,214,37,66,nan,nan
2005,582,600,nan,1,208,45,67,nan,nan
2006,574,605,nan,1,205,46,75,nan,nan
2007,572,610,nan,1,200,53,80,nan,nan
2008,569,617,nan,1,191,63,85,nan,nan
2009,569,626,33,1,187,69,86,nan,nan
2010,566,635,31,1,184,79,90,nan,nan
2011,535,642,33,1,173,85,97,nan,nan
2012,537,649,35,1,171,95,102,nan,nan
2013,538,652,36,1,158,97,104,nan,nan
2014,543,642,37,1,154,101,107,nan,nan
2015,549,642,39,2,155,106,110,23628,13845
2016,554,650,40,0,151,108,117,25533,15324
2017,560,654,42,1,148,108,122,27702,12027
2018,566,655,43,1,144,109,127,30099,nan
2019,568,657,44,1,139,114,137,32643,nan
2020,570,658,44,1,138,114,139,34371,nan
2021,532,670,45,1,115,73,108,37275,19218
