year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,2,47,30,21,nan,nan
2002,nan,nan,nan,2,46,27,24,nan,nan
2003,nan,nan,nan,1,47,31,29,nan,nan
2004,201,204,nan,2,45,31,25,nan,nan
2005,204,209,nan,1,45,28,28,nan,nan
2006,204,211,nan,2,45,26,31,nan,nan
2007,204,212,nan,2,45,29,30,nan,nan
2008,205,214,nan,2,42,32,32,nan,nan
2009,205,216,56,2,43,33,32,nan,nan
2010,206,218,55,2,41,36,33,nan,nan
2011,211,220,56,2,40,37,34,nan,nan
2012,212,222,57,2,40,39,35,nan,nan
2013,212,218,59,2,39,39,35,nan,nan
2014,214,215,60,2,39,39,36,nan,nan
2015,216,215,61,2,38,39,37,25689,15918
2016,218,217,62,2,38,38,41,27246,16737
2017,221,217,64,2,38,37,43,29577,18144
2018,223,217,65,2,38,38,45,31959,19101
2019,225,218,66,2,38,38,47,34725,20457
2020,227,219,64,2,39,35,49,36426,21282
2021,197,220,65,2,29,29,37,39687,23376
