year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,552,nan,4,nan,nan,nan,nan,nan
2002,nan,555,nan,3,nan,nan,nan,nan,nan
2003,nan,561,24,3,nan,nan,nan,nan,nan
2004,nan,561,25,3,0,15,19,nan,nan
2005,nan,564,26,4,0,15,19,nan,nan
2006,546,567,28,3,0,15,20,nan,nan
2007,550,570,37,3,0,14,20,nan,nan
2008,554,579,36,3,0,14,19,nan,nan
2009,557,582,29,3,0,15,20,nan,nan
2010,561,588,31,3,0,14,21,nan,nan
2011,580,597,32,3,0,15,21,nan,nan
2012,585,603,33,3,0,16,22,nan,nan
2013,589,594,42,3,0,17,23,nan,nan
2014,591,597,44,3,0,22,26,nan,nan
2015,594,612,46,3,0,22,26,16020,12405
2016,597,621,49,3,0,21,26,17466,13515
2017,604,630,50,3,0,20,27,19083,14649
2018,606,639,52,3,0,19,28,20760,15828
2019,607,642,53,3,0,15,28,22608,13821
2020,610,645,53,3,0,13,28,23625,17694
2021,595,648,54,3,nan,12,28,25824,19011
