year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,846,nan,4,nan,nan,nan,nan,nan
2002,nan,855,nan,4,nan,nan,nan,nan,nan
2003,nan,864,25,4,nan,nan,nan,nan,nan
2004,nan,873,26,3,1,7,27,nan,nan
2005,nan,879,28,3,1,6,27,nan,nan
2006,810,885,29,4,0,9,26,nan,nan
2007,812,903,31,4,0,9,25,nan,nan
2008,817,912,31,4,1,9,25,nan,nan
2009,819,924,33,4,1,8,26,nan,nan
2010,825,939,35,4,0,9,26,nan,nan
2011,830,957,38,3,0,10,27,nan,nan
2012,832,966,40,3,0,12,28,nan,nan
2013,834,957,42,3,0,12,29,nan,nan
2014,837,957,43,3,0,18,32,nan,nan
2015,844,990,45,3,0,18,32,20844,12645
2016,850,1002,47,3,0,19,33,22602,13764
2017,862,1014,49,3,0,19,33,24552,15261
2018,874,1017,50,4,0,18,35,26370,16785
2019,877,1023,51,3,0,16,32,28515,14442
2020,878,1026,51,3,0,12,33,29715,18786
2021,880,1026,52,3,nan,8,34,32373,20316
