year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,217.0,255.0,nan,3.0,nan,nan,nan,nan,nan
2002,223.0,255.0,nan,3.0,nan,nan,nan,nan,nan
2003,225.0,258.0,nan,3.0,nan,nan,nan,nan,nan
2004,227.0,258.0,nan,3.0,nan,nan,nan,nan,nan
2005,231.0,261.0,44,3.0,nan,nan,nan,nan,nan
2006,232.0,264.0,44,3.0,nan,nan,nan,nan,nan
2007,234.0,267.0,46,3.0,75,39,30,nan,nan
2008,236.0,270.0,46,3.0,78,39,30,nan,nan
2009,237.0,273.0,47,3.0,72,45,36,nan,nan
2010,237.0,273.0,47,3.0,72,45,39,nan,nan
2011,243.0,282.0,47,3.0,51,39,36,nan,nan
2012,245.0,282.0,48,3.0,51,45,39,nan,nan
2013,248.0,282.0,49,2.0,48,42,36,nan,nan
2014,249.0,285.0,49,2.0,45,42,36,nan,nan
2015,251.0,288.0,48,2.0,45,42,36,17775.0,17793
2016,252.0,291.0,49,2.0,45,42,36,19512,19755
2017,254.0,294.0,49,2.0,45,42,36,21441,21513
2018,256.0,297.0,51,2.0,45,42,39,23280,21780.0
2019,257.0,297.0,52,2.0,42,24,39,25131.0,22836.0
2020,259.0,300.0,54,3.0,45,24,39,26589.0,22893.0
2021,261.0,300.0,55,2.0,27,24,57,29166.0,23892
