year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,3,nan,nan,nan,nan,nan
2002,nan,nan,nan,3,nan,nan,nan,nan,nan
2003,nan,nan,nan,3,nan,nan,nan,nan,nan
2004,nan,nan,nan,3,0,29,28,nan,nan
2005,nan,nan,nan,3,0,29,29,nan,nan
2006,388,351,nan,3,0,32,30,nan,nan
2007,397,355,nan,3,0,30,31,nan,nan
2008,405,360,nan,3,0,32,34,nan,nan
2009,413,364,nan,3,0,32,34,nan,nan
2010,423,367,68,3,0,32,37,nan,nan
2011,433,373,nan,3,0,34,36,nan,nan
2012,439,376,nan,3,0,40,36,nan,nan
2013,445,375,nan,3,0,45,38,nan,nan
2014,452,379,nan,3,0,53,45,nan,nan
2015,456,383,nan,4,0,54,50,27240,20019
2016,462,392,nan,4,0,53,51,29502,22362
2017,555,401,nan,4,0,54,52,32184,26061
2018,575,408,nan,4,0,54,54,35115,28248
2019,583,418,nan,3,0,52,54,38238,29151
2020,595,428,80,3,0,49,59,40302,26433
2021,599,437,nan,3,0,47,61,43875,31347
