year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,1,195,35,62,nan,nan
2002,nan,nan,nan,1,194,37,66,nan,nan
2003,nan,nan,nan,1,186,39,64,nan,nan
2004,518,539,nan,1,170,33,103,nan,nan
2005,527,546,nan,1,175,34,103,nan,nan
2006,514,550,nan,1,174,34,104,nan,nan
2007,512,562,nan,1,174,41,99,nan,nan
2008,510,579,nan,1,174,43,100,nan,nan
2009,511,589,33,1,165,52,106,nan,nan
2010,508,597,29,1,167,53,107,nan,nan
2011,485,601,31,1,164,70,100,nan,nan
2012,488,604,33,1,148,69,106,nan,nan
2013,490,613,34,1,151,74,114,nan,nan
2014,495,633,36,1,146,77,116,nan,nan
2015,500,634,37,1,156,80,118,23118,15612
2016,505,635,38,1,161,81,120,25053,16638
2017,510,647,40,0,134,88,134,27246,18093
2018,517,651,41,1,133,89,140,29709,19401
2019,524,657,42,1,133,91,145,32409,21159
2020,526,663,43,1,129,88,146,34158,22005
2021,500,673,43,1,80,70,107,37317,23916
