year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,645,nan,3,nan,nan,nan,nan,nan
2002,nan,645,nan,3,nan,nan,nan,nan,nan
2003,nan,645,35,3,nan,nan,nan,nan,nan
2004,nan,645,37,3,1,34,31,nan,nan
2005,nan,645,46,3,1,37,31,nan,nan
2006,694,645,46,3,1,51,32,nan,nan
2007,696,648,46,3,1,52,32,nan,nan
2008,699,651,46,3,1,58,33,nan,nan
2009,702,651,48,3,1,50,32,nan,nan
2010,703,651,50,3,0,52,34,nan,nan
2011,697,651,50,3,0,54,36,nan,nan
2012,698,651,50,3,0,68,38,nan,nan
2013,698,648,58,3,0,67,37,nan,nan
2014,699,651,59,3,0,62,46,nan,nan
2015,700,651,60,3,0,62,48,29757,23409
2016,701,651,62,3,0,58,48,32178,25737
2017,706,654,64,3,0,57,46,34830,27894
2018,709,654,65,3,0,54,45,37584,29493
2019,712,651,65,2,0,52,43,40602,25113
2020,714,651,67,3,0,43,45,42201,31842
2021,710,651,68,2,0,39,45,45807,34176
