year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,322.0,276.0,nan,3.0,nan,nan,nan,nan,nan
2002,335.0,279.0,nan,3.0,nan,nan,nan,nan,nan
2003,343.0,282.0,nan,3.0,nan,nan,nan,nan,nan
2004,352.0,285.0,nan,3.0,nan,nan,nan,nan,nan
2005,363.0,291.0,55,3.0,nan,nan,nan,nan,nan
2006,371.0,297.0,61,3.0,nan,nan,nan,nan,nan
2007,388.0,306.0,61,2.0,69,99,54,nan,nan
2008,403.0,312.0,61,3.0,66,105,60,nan,nan
2009,419.0,318.0,61,3.0,66,102,66,nan,nan
2010,435.0,324.0,62,2.0,66,105,69,nan,nan
2011,460.0,336.0,62,2.0,54,126,78,nan,nan
2012,482.0,342.0,64,2.0,51,132,81,nan,nan
2013,503.0,339.0,66,2.0,51,132,81,nan,nan
2014,521.0,342.0,67,2.0,51,135,87,nan,nan
2015,538.0,348.0,64,2.0,48,141,87,25218.0,21579
2016,550.0,357.0,65,2.0,48,138,90,28059,23778
2017,563.0,363.0,66,2.0,48,141,93,31089,26421
2018,572.0,369.0,68,2.0,48,141,96,33927,27771.0
2019,585.0,378.0,70,2.0,45,147,126,37158.0,30006.0
2020,597.0,387.0,73,2.0,45,144,126,39744.0,29367.0
2021,606.0,396.0,73,2.0,33,144,138,43350.0,32430
