year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,172,nan,2,nan,nan,nan,nan,nan
2002,nan,174,nan,2,nan,nan,nan,nan,nan
2003,nan,175,32,2,nan,nan,nan,nan,nan
2004,nan,177,33,2,0,22,9,nan,nan
2005,nan,179,43,2,0,21,10,nan,nan
2006,195,181,43,2,0,22,12,nan,nan
2007,197,182,42,2,0,22,13,nan,nan
2008,199,183,42,2,0,22,14,nan,nan
2009,200,184,43,2,1,22,15,nan,nan
2010,202,185,44,2,1,22,16,nan,nan
2011,204,185,44,2,1,23,17,nan,nan
2012,206,186,43,2,1,29,16,nan,nan
2013,207,186,63,2,0,29,17,nan,nan
2014,208,187,64,2,0,32,17,nan,nan
2015,210,189,66,2,0,31,17,nan,23139
2016,211,191,67,2,0,27,17,nan,24876
2017,213,193,68,2,0,26,17,nan,26871
2018,215,195,69,3,0,23,17,nan,28899
2019,217,197,69,3,0,21,16,nan,25359
2020,218,198,71,3,0,20,18,nan,31284
2021,219,198,72,3,0,19,18,nan,33525
