year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,1,nan,nan,nan,nan,nan
2002,nan,nan,nan,1,nan,nan,nan,nan,nan
2003,nan,nan,nan,1,nan,nan,nan,nan,nan
2004,nan,nan,nan,1,0,4,8,nan,nan
2005,nan,nan,nan,2,1,4,8,nan,nan
2006,252,257,nan,2,1,3,8,nan,nan
2007,249,261,nan,1,0,3,8,nan,nan
2008,244,267,nan,1,0,3,8,nan,nan
2009,240,270,nan,1,0,2,8,nan,nan
2010,235,273,30,1,0,3,8,nan,nan
2011,230,280,nan,1,0,3,9,nan,nan
2012,228,282,nan,1,0,5,9,nan,nan
2013,228,284,nan,1,0,5,10,nan,nan
2014,230,286,nan,1,0,6,10,nan,nan
2015,231,290,nan,1,0,6,11,22935,15249
2016,231,296,nan,1,0,7,12,24885,17073
2017,242,300,nan,1,0,6,12,27222,18918
2018,245,301,nan,1,0,7,13,29673,20055
2019,245,304,nan,1,0,5,13,32343,21378
2020,247,307,46,1,0,6,14,33930,19284
2021,247,310,nan,1,0,6,14,37026,22923
