year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,240.0,246.0,nan,3.0,nan,nan,nan,nan,nan
2002,245.0,246.0,nan,3.0,nan,nan,nan,nan,nan
2003,247.0,246.0,nan,3.0,nan,nan,nan,nan,nan
2004,249.0,249.0,nan,3.0,nan,nan,nan,nan,nan
2005,252.0,249.0,54,3.0,nan,nan,nan,nan,nan
2006,252.0,249.0,63,3.0,nan,nan,nan,nan,nan
2007,254.0,249.0,63,2.0,48,54,27,nan,nan
2008,257.0,252.0,59,2.0,48,54,27,nan,nan
2009,260.0,255.0,62,2.0,48,57,27,nan,nan
2010,263.0,255.0,63,2.0,48,60,27,nan,nan
2011,267.0,258.0,63,2.0,36,66,30,nan,nan
2012,267.0,261.0,63,2.0,36,66,30,nan,nan
2013,268.0,264.0,63,2.0,39,63,30,nan,nan
2014,269.0,267.0,63,2.0,39,60,30,nan,nan
2015,268.0,267.0,63,2.0,39,57,30,16815.0,14829
2016,260.0,270.0,63,2.0,36,54,27,18060,15861
2017,259.0,273.0,63,3.0,39,54,27,19428,16257
2018,259.0,273.0,64,2.0,36,54,27,20895,17385.0
2019,259.0,273.0,64,2.0,36,39,30,22542.0,18567.0
2020,258.0,273.0,64,3.0,36,39,30,23301.0,19107.0
2021,257.0,273.0,65,3.0,27,36,42,25083.0,20532
