year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,999,nan,4,nan,nan,nan,nan,nan
2002,nan,1005,nan,4,nan,nan,nan,nan,nan
2003,nan,1008,24,3,nan,nan,nan,nan,nan
2004,nan,1011,25,3,1,17,30,nan,nan
2005,nan,1014,22,3,1,16,30,nan,nan
2006,973,1017,20,3,1,23,32,nan,nan
2007,978,1020,21,3,1,23,32,nan,nan
2008,980,1026,21,2,1,23,31,nan,nan
2009,983,1032,21,2,1,21,32,nan,nan
2010,989,1041,31,2,1,23,32,nan,nan
2011,1006,1071,34,2,1,25,31,nan,nan
2012,1009,1080,34,2,1,31,31,nan,nan
2013,1012,1083,50,2,0,39,33,nan,nan
2014,1016,1089,52,2,0,51,50,nan,nan
2015,1022,1113,54,2,0,49,45,22923,13395
2016,1031,1122,56,2,0,48,45,24759,14466
2017,1044,1140,57,2,0,47,45,27012,15741
2018,1056,1161,52,2,0,44,44,29253,17088
2019,1062,1179,53,2,0,38,44,nan,14481
2020,1067,1188,55,2,0,27,44,nan,18885
2021,1103,1197,56,2,0,22,44,nan,20364
