year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,645.0,150.0,nan,1.0,nan,nan,nan,nan,nan
2002,654.0,153.0,nan,1.0,nan,nan,nan,nan,nan
2003,655.0,156.0,nan,2.0,nan,nan,nan,nan,nan
2004,655.0,156.0,nan,2.0,nan,nan,nan,nan,nan
2005,656.0,159.0,73,1.0,nan,nan,nan,nan,nan
2006,656.0,165.0,85,2.0,nan,nan,nan,nan,nan
2007,686.0,168.0,85,2.0,9,273,141,nan,nan
2008,717.0,171.0,86,2.0,9,282,138,nan,nan
2009,751.0,174.0,86,2.0,6,282,147,nan,nan
2010,786.0,177.0,88,2.0,6,273,144,nan,nan
2011,822.0,180.0,89,2.0,6,474,141,nan,nan
2012,877.0,183.0,89,2.0,3,477,141,nan,nan
2013,924.0,186.0,89,2.0,6,480,144,nan,nan
2014,963.0,186.0,89,2.0,3,480,144,nan,nan
2015,996.0,189.0,89,2.0,3,450,201,38649.0,28998
2016,1000.0,195.0,89,2.0,6,444,201,41901,30687
2017,1017.0,198.0,89,2.0,3,444,201,45450,32496
2018,1038.0,210.0,90,1.0,3,450,201,49329,33675.0
2019,1044.0,231.0,90,1.0,3,444,255,53655.0,36198.0
2020,1046.0,249.0,92,2.0,3,447,255,56532.0,34704.0
2021,1048.0,261.0,92,2.0,3,447,261,62124.0,39801
