year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,nan,nan,nan,nan,nan
2002,nan,nan,nan,0.2,nan,nan,nan,nan,nan
2003,nan,nan,nan,0.2,nan,nan,nan,nan,nan
2004,nan,nan,nan,0.2,nan,nan,nan,nan,nan
2005,nan,nan,nan,0.2,nan,nan,nan,nan,nan
2006,689,727,nan,0.2,nan,nan,nan,nan,nan
2007,685,741,nan,0.2,nan,nan,18,nan,nan
2008,677,760,nan,0.4,0,4,18,nan,nan
2009,674,780,nan,0.3,0,5,18,nan,nan
2010,664,799,26,0.3,0,5,19,nan,nan
2011,655,834,nan,0.3,0,5,19,nan,nan
2012,652,852,nan,0.3,0,5,19,nan,nan
2013,652,858,nan,0.3,0,7,20,nan,nan
2014,654,871,nan,0.3,0,7,23,nan,nan
2015,654,881,nan,0.3,0,8,24,23121,14520
2016,661,904,nan,0.3,0,7,25,25041,14151
2017,681,917,nan,0.3,0,7,26,27318,15735
2018,685,923,nan,0.3,0,6,28,29886,17166
2019,687,930,nan,1,0,5,28,32637,18714
2020,689,938,42,1,0,5,28,34272,17940
2021,690,950,nan,1,0,5,28,37263,21672
