year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,0,534,nan,4,nan,nan,nan,nan,nan
2002,0,540,nan,4,nan,nan,nan,nan,nan
2003,0,543,23,4,nan,nan,nan,nan,nan
2004,0,546,24,3,1,13,19,nan,nan
2005,0,549,26,3,0,14,19,nan,nan
2006,538,552,28,3,0,17,20,nan,nan
2007,542,555,28,3,0,17,20,nan,nan
2008,545,561,28,3,0,17,20,nan,nan
2009,549,564,29,3,0,16,20,nan,nan
2010,553,567,30,3,1,17,20,nan,nan
2011,557,570,30,3,1,17,21,nan,nan
2012,560,576,31,3,0,17,21,nan,nan
2013,563,576,48,3,0,18,23,nan,nan
2014,567,576,50,3,0,26,31,nan,nan
2015,571,582,52,3,0,26,31,19911,13050
2016,574,585,54,3,0,26,30,21600,14130
2017,579,591,56,3,0,25,30,23526,15129
2018,580,594,57,2,0,25,30,25545,16272
2019,581,597,53,2,0,21,27,27618,15276
2020,575,597,53,3,0,15,26,28887,17859
2021,561,597,54,2,0,10,25,31527,19089
