year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,1,nan,nan,nan,nan,nan
2002,nan,nan,nan,1,nan,nan,nan,nan,nan
2003,nan,nan,nan,1,nan,nan,nan,nan,nan
2004,nan,nan,nan,1,0,10,7,nan,nan
2005,nan,nan,nan,1,0,10,7,nan,nan
2006,293,297,nan,2,0,11,8,nan,nan
2007,293,300,nan,1,0,11,7,nan,nan
2008,291,303,nan,2,0,11,8,nan,nan
2009,290,306,nan,1,0,10,8,nan,nan
2010,288,310,29,1,0,11,8,nan,nan
2011,285,319,nan,1,0,11,8,nan,nan
2012,285,321,nan,1,0,13,9,nan,nan
2013,286,323,nan,1,0,15,9,nan,nan
2014,287,325,nan,1,0,14,11,nan,nan
2015,288,328,nan,2,0,13,11,23325,14973
2016,289,333,nan,2,0,12,12,25473,15999
2017,298,340,nan,2,0,11,12,27891,17406
2018,300,342,nan,2,0,11,13,30375,19422
2019,301,349,nan,2,0,10,14,33048,20913
2020,303,353,49,2,0,10,15,34632,22164
2021,303,358,nan,2,0,10,16,37584,26580
