year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,245,142,180,nan,nan
2002,nan,nan,nan,nan,241,139,189,nan,nan
2003,nan,nan,nan,nan,232,148,198,nan,nan
2004,nan,nan,nan,nan,221,157,194,nan,nan
2005,nan,nan,60,nan,211,173,223,nan,nan
2006,nan,nan,62,nan,200,189,253,nan,nan
2007,nan,nan,63,nan,189,198,272,nan,nan
2008,nan,nan,64,nan,177,227,298,nan,nan
2009,1271,1125,65,3,173,244,311,nan,nan
2010,1287,1140,66,3,163,255,333,nan,nan
2011,1405,1149,67,3,153,266,348,nan,nan
2012,1407,1163,68,3,145,289,351,nan,nan
2013,1418,1173,69,3,142,309,341,nan,nan
2014,1430,1188,70,3,138,314,369,nan,nan
2015,1443,1211,71,3,133,289,402,33474,21822
2016,1466,1228,71,3,103,306,419,35901,23511
2017,1592,1399,72,3,110,321,448,38916,25314
2018,1604,1435,73,3,108,325,460,42126,27312
2019,1633,1478,74,3,103,323,469,45876,29718
2020,1658,1502,79,3,101,332,480,48591,28734
2021,2095,1520,79,3,99,332,481,52632,31578
