year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,2,nan,nan,nan,nan,nan
2002,nan,nan,nan,2,nan,nan,nan,nan,nan
2003,nan,nan,nan,2,nan,nan,nan,nan,nan
2004,nan,nan,nan,2,1,8,17,nan,nan
2005,nan,nan,nan,2,1,7,19,nan,nan
2006,680,726,nan,2,0,10,19,nan,nan
2007,668,732,nan,2,0,11,19,nan,nan
2008,654,739,nan,2,0,11,20,nan,nan
2009,642,744,nan,2,0,9,20,nan,nan
2010,627,751,35,2,0,9,21,nan,nan
2011,613,764,nan,2,0,8,22,nan,nan
2012,610,772,nan,2,0,10,23,nan,nan
2013,612,771,nan,2,0,13,24,nan,nan
2014,614,778,nan,2,0,15,26,nan,nan
2015,615,787,nan,2,0,15,28,24996,16815
2016,619,793,nan,2,0,13,29,27096,16986
2017,648,802,nan,2,0,13,29,29616,17763
2018,654,805,nan,2,0,12,31,32310,19311
2019,656,813,nan,2,0,12,34,35352,22506
2020,660,819,57,2,0,12,36,37188,21297
2021,661,826,nan,2,0,12,38,40548,25596
