year,live_popularity,huju_popularity,urbanizationRate,unemploymentRate,pi_Employment,si_Employment,ti_Employment,disposableIcome,towner_ConsumptionExpenditures
2001,nan,nan,nan,nan,79,26,54,nan,nan
2002,nan,nan,nan,nan,83,26,46,nan,nan
2003,nan,nan,nan,nan,82,28,45,nan,nan
2004,nan,nan,nan,nan,81,32,42,nan,nan
2005,nan,nan,35,nan,84,34,48,nan,nan
2006,nan,nan,37,nan,76,35,41,nan,nan
2007,nan,nan,38,nan,71,39,44,nan,nan
2008,nan,nan,40,nan,75,52,46,nan,nan
2009,281,326,41,4,75,57,49,nan,nan
2010,281,329,41,4,71,60,53,nan,nan
2011,268,326,43,4,74,58,52,nan,nan
2012,268,327,44,4,73,59,58,nan,nan
2013,271,329,46,4,68,59,63,nan,nan
2014,274,330,47,4,68,65,63,nan,nan
2015,275,330,48,4,67,64,67,26265,18360
2016,277,328,49,4,82,56,60,28455,19407
2017,278,327,51,4,66,49,55,31014,20208
2018,290,324,53,4,65,49,55,33597,21831
2019,292,322,54,3,63,50,57,36621,24414
2020,292,320,55,4,61,50,59,38778,22332
2021,249,318,56,4,59,50,61,41976,23877
